country_code,life_exp
900,70.79
901,78.43
902,69.10
941,62.66
934,70.47
948,67.34
1503,80.41
1517,69.97
1502,74.32
1501,66.55
1500,60.56
947,57.88
903,60.23
910,61.45
108,56.09
174,62.83
262,61.62
232,63.42
231,63.69
404,65.40
450,64.51
454,60.71
480,74.15
175,79.34
508,56.08
638,79.54
646,65.17
690,72.89
706,54.86
728,55.07
800,58.61
834,62.78
894,59.73
716,57.63
911,57.43
24,60.19
120,56.39
140,49.40
148,51.67
178,62.55
180,58.10
226,56.85
266,64.46
678,66.14
912,71.08
12,75.27
818,70.84
434,71.46
504,74.86
729,63.59
788,75.05
732,68.41
913,59.30
72,62.91
426,52.50
516,61.75
710,59.49
748,54.99
914,54.74
204,59.93
854,58.71
132,72.15
384,51.70
270,60.31
288,61.68
324,57.93
624,56.00
430,60.70
466,56.23
478,62.64
562,58.53
566,51.88
686,65.71
694,50.19
768,59.07
935,71.81
906,76.76
156,75.67
344,83.40
446,83.29
158,79.25
408,70.79
392,83.27
496,68.47
410,81.27
921,67.95
5500,69.77
398,69.07
417,70.27
762,70.37
795,67.30
860,70.80
5501,67.88
4,62.25
50,71.25
64,68.78
356,67.58
364,75.06
462,76.31
524,68.90
586,65.86
144,74.63
920,70.50
96,76.71
116,67.61
360,68.60
418,65.40
458,74.74
104,66.01
608,68.61
702,82.34
764,74.56
626,67.74
704,75.56
922,72.77
51,73.99
31,71.57
48,76.41
196,79.93
268,72.75
368,69.19
376,81.91
400,73.81
414,74.29
422,78.93
512,76.22
634,77.68
682,74.00
275,72.86
760,69.87
792,74.83
784,76.71
887,64.17
908,77.20
923,72.22
112,72.15
100,74.25
203,78.17
348,75.40
616,76.99
498,70.97
642,74.84
643,70.30
703,76.31
804,71.11
924,80.53
830,80.57
208,80.14
233,76.76
246,80.69
352,82.19
372,80.85
428,73.92
440,73.99
578,81.61
752,81.89
826,80.97
925,81.09
8,77.66
70,76.30
191,77.05
300,80.62
380,82.34
470,80.28
499,76.39
620,80.50
688,74.65
705,80.31
724,82.51
807,75.15
926,81.08
40,80.99
56,80.52
250,81.89
276,80.45
442,81.15
528,81.31
756,82.69
904,74.65
915,72.45
28,75.81
533,75.37
44,75.15
52,75.37
192,79.16
531,77.77
214,73.19
308,73.17
312,80.54
332,62.29
388,75.45
474,81.20
630,79.22
662,74.81
670,72.74
780,70.24
850,79.10
916,75.79
84,69.76
188,79.16
222,72.63
320,72.44
340,72.88
484,76.48
558,74.47
591,77.32
931,74.50
32,76.01
68,67.72
76,74.66
152,78.82
170,73.74
218,75.54
254,79.18
328,66.26
600,72.74
604,74.16
740,70.90
858,76.96
862,73.95
905,79.17
124,81.77
840,78.88
909,77.92
927,82.14
36,82.30
554,81.32
928,66.12
242,69.72
540,76.26
598,64.97
90,69.60
548,71.36
954,72.81
316,78.84
296,65.68
583,68.79
957,74.54
258,76.14
882,74.09
776,72.51